uri,code,title,class_kind,semantic_level,depth,parent_uri,parent_code,parent_title,child_count,is_leaf,is_three_character_code,is_terminal_code,browser_url
http://id.who.int/icd/release/10/2019/A95,A95,Yellow fever,category,three_character,3,http://id.who.int/icd/release/10/2019/A92-A99,A92-A99,Arthropod-borne viral fevers and viral haemorrhagic fevers,3,false,true,false,http://apps.who.int/classifications/icd10/browse/2019/en#/A95
http://id.who.int/icd/release/10/2019/A95.0,A95.0,Sylvatic yellow fever,category,final_code,4,http://id.who.int/icd/release/10/2019/A95,A95,Yellow fever,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A95.0
http://id.who.int/icd/release/10/2019/A95.1,A95.1,Urban yellow fever,category,final_code,4,http://id.who.int/icd/release/10/2019/A95,A95,Yellow fever,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A95.1
http://id.who.int/icd/release/10/2019/A95.9,A95.9,"Yellow fever, unspecified",category,final_code,4,http://id.who.int/icd/release/10/2019/A95,A95,Yellow fever,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A95.9
http://id.who.int/icd/release/10/2019/A96,A96,Arenaviral haemorrhagic fever,category,three_character,3,http://id.who.int/icd/release/10/2019/A92-A99,A92-A99,Arthropod-borne viral fevers and viral haemorrhagic fevers,5,false,true,false,http://apps.who.int/classifications/icd10/browse/2019/en#/A96
http://id.who.int/icd/release/10/2019/A96.0,A96.0,Junin haemorrhagic fever,category,final_code,4,http://id.who.int/icd/release/10/2019/A96,A96,Arenaviral haemorrhagic fever,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A96.0
http://id.who.int/icd/release/10/2019/A96.1,A96.1,Machupo haemorrhagic fever,category,final_code,4,http://id.who.int/icd/release/10/2019/A96,A96,Arenaviral haemorrhagic fever,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A96.1
http://id.who.int/icd/release/10/2019/A96.2,A96.2,Lassa fever,category,final_code,4,http://id.who.int/icd/release/10/2019/A96,A96,Arenaviral haemorrhagic fever,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A96.2
http://id.who.int/icd/release/10/2019/A96.8,A96.8,Other arenaviral haemorrhagic fevers,category,final_code,4,http://id.who.int/icd/release/10/2019/A96,A96,Arenaviral haemorrhagic fever,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A96.8
http://id.who.int/icd/release/10/2019/A96.9,A96.9,"Arenaviral haemorrhagic fever, unspecified",category,final_code,4,http://id.who.int/icd/release/10/2019/A96,A96,Arenaviral haemorrhagic fever,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A96.9
http://id.who.int/icd/release/10/2019/A97,A97,Dengue,category,three_character,3,http://id.who.int/icd/release/10/2019/A92-A99,A92-A99,Arthropod-borne viral fevers and viral haemorrhagic fevers,4,false,true,false,http://apps.who.int/classifications/icd10/browse/2019/en#/A97
http://id.who.int/icd/release/10/2019/A97.0,A97.0,Dengue without warning signs,category,final_code,4,http://id.who.int/icd/release/10/2019/A97,A97,Dengue,0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/A97.0
