code,title,node_type,semantic_level,parent_code,chapter_code,chapter_title,block_code,block_title,three_character_code,three_character_title,has_children,is_leaf,is_three_character_code,is_detailed_code,is_coding_selectable,sex_selectable,age_group_selectable,policy_status,restriction_note
A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",category,detailed_code,A16,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",false,true,false,true,,,,unreviewed,
A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,category,detailed_code,A16,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",false,true,false,true,,,,unreviewed,
A16.8,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",category,detailed_code,A16,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",false,true,false,true,,,,unreviewed,
A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",category,detailed_code,A16,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",false,true,false,true,,,,unreviewed,
A17,Tuberculosis of nervous system,category,three_character,A15-A19,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A17,Tuberculosis of nervous system,true,false,true,false,,,,unreviewed,
A17.0,Tuberculous meningitisG01,category,detailed_code,A17,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A17,Tuberculosis of nervous system,false,true,false,true,,,,unreviewed,
A17.1,Meningeal tuberculomaG07,category,detailed_code,A17,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A17,Tuberculosis of nervous system,false,true,false,true,,,,unreviewed,
A17.8,Other tuberculosis of nervous system,category,detailed_code,A17,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A17,Tuberculosis of nervous system,false,true,false,true,,,,unreviewed,
A17.9,"Tuberculosis of nervous system, unspecifiedG99.8",category,detailed_code,A17,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A17,Tuberculosis of nervous system,false,true,false,true,,,,unreviewed,
A18,Tuberculosis of other organs,category,three_character,A15-A19,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18,Tuberculosis of other organs,true,false,true,false,,,,unreviewed,
A18.0,Tuberculosis of bones and joints,category,detailed_code,A18,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18,Tuberculosis of other organs,false,true,false,true,,,,unreviewed,
A18.1,Tuberculosis of genitourinary system,category,detailed_code,A18,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18,Tuberculosis of other organs,false,true,false,true,,,,unreviewed,
A18.2,Tuberculous peripheral lymphadenopathy,category,detailed_code,A18,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18,Tuberculosis of other organs,false,true,false,true,,,,unreviewed,
A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands",category,detailed_code,A18,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18,Tuberculosis of other organs,false,true,false,true,,,,unreviewed,
A18.4,Tuberculosis of skin and subcutaneous tissue,category,detailed_code,A18,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18,Tuberculosis of other organs,false,true,false,true,,,,unreviewed,
A18.5,Tuberculosis of eye,category,detailed_code,A18,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18,Tuberculosis of other organs,false,true,false,true,,,,unreviewed,
A18.6,Tuberculosis of ear,category,detailed_code,A18,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18,Tuberculosis of other organs,false,true,false,true,,,,unreviewed,
A18.7,Tuberculosis of adrenal glandsE35.1,category,detailed_code,A18,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18,Tuberculosis of other organs,false,true,false,true,,,,unreviewed,
A18.8,Tuberculosis of other specified organs,category,detailed_code,A18,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18,Tuberculosis of other organs,false,true,false,true,,,,unreviewed,
A19,Miliary tuberculosis,category,three_character,A15-A19,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A19,Miliary tuberculosis,true,false,true,false,,,,unreviewed,
A19.0,Acute miliary tuberculosis of a single specified site,category,detailed_code,A19,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A19,Miliary tuberculosis,false,true,false,true,,,,unreviewed,
A19.1,Acute miliary tuberculosis of multiple sites,category,detailed_code,A19,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A19,Miliary tuberculosis,false,true,false,true,,,,unreviewed,
A19.2,"Acute miliary tuberculosis, unspecified",category,detailed_code,A19,I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A19,Miliary tuberculosis,false,true,false,true,,,,unreviewed,
