code,title,chapter_no,selectable,sex,age,rule,restriction_rule,residual,leaf,flags
1B12.41,Tuberculous myositis,01,yes,both,all,annex,default,no,yes,
1B12.4Y,Tuberculosis of other specified part of the musculoskeletal system,01,yes,both,all,annex,default,yes,yes,
1B12.4Z,"Tuberculosis of the musculoskeletal system, unspecified",01,yes,both,all,annex,default,yes,yes,
1B12.5,Tuberculosis of the genitourinary system,01,yes,both,all,annex,icd10 A18.1 N33.0 N74.1,no,yes,
1B12.6,Tuberculous peripheral lymphadenopathy,01,yes,both,all,annex,icd10 A18.2,no,yes,
1B12.7,Tuberculosis of the digestive system,01,yes,both,all,annex,icd10 A18.3 K67.3 K93.0,no,yes,
1B12.8,Cutaneous tuberculosis,01,yes,both,all,annex,icd10 A18.4,no,yes,
1B12.Y,Tuberculosis of other specified organ or site,01,yes,both,all,annex,icd10 A18 A18.8,yes,yes,
1B13,Miliary tuberculosis,01,yes,both,all,annex,default,no,no,
1B13.0,Acute miliary tuberculosis of a single specified site,01,yes,both,all,annex,icd10 A19.0,no,yes,
1B13.1,Acute miliary tuberculosis of multiple sites,01,yes,both,all,annex,icd10 A19.1,no,yes,
1B13.2,"Acute miliary tuberculosis, unspecified site",01,yes,both,all,annex,default,no,yes,
1B13.Y,Other specified miliary tuberculosis,01,yes,both,all,annex,default,yes,yes,
1B13.Z,"Miliary tuberculosis, unspecified",01,yes,both,all,annex,icd10 A19 A19.2 A19.8 A19.9,yes,yes,
1B14,Latent tuberculosis,01,yes,both,all,annex,default,no,yes,
1B1Y,Other specified tuberculosis,01,yes,both,all,annex,default,yes,yes,
1B1Z,"Tuberculosis, unspecified",01,yes,both,all,annex,default,yes,yes,
1B20,Leprosy,01,yes,both,all,annex,default,no,no,
1B20.0,Paucibacillary leprosy,01,yes,both,all,annex,icd10 A30.0 A30.1 A30.2,no,yes,
1B20.1,Multibacillary leprosy,01,yes,both,all,annex,icd10 A30.3 A30.4 A30.5,no,yes,
1B20.2,Leprosy reactions,01,yes,both,all,annex,default,no,no,
1B20.20,Type I leprosy reaction,01,yes,both,all,annex,default,no,yes,
1B20.21,Type II leprosy reaction,01,yes,both,all,annex,default,no,yes,
1B20.3,Complications of leprosy,01,yes,both,all,annex,default,no,yes,
1B20.Z,"Leprosy, unspecified",01,yes,both,all,annex,icd10 A30 A30.8 A30.9,yes,yes,
1B21,Infections due to non-tuberculous mycobacteria,01,yes,both,all,annex,default,no,no,
1B21.0,Pulmonary infection due to non-tuberculous mycobacterium,01,yes,both,all,annex,icd10 A31.0,no,yes,
1B21.1,Non-tuberculous mycobacterial lymphadenitis,01,yes,both,all,annex,default,no,yes,
1B21.2,Cutaneous non-tuberculous mycobacterial infection,01,yes,both,all,annex,default,no,no,
1B21.20,Mycobacterium ulcerans infection,01,yes,both,all,annex,default,no,yes,
1B21.2Y,Cutaneous infection due to other specified non-tuberculous mycobacteria,01,yes,both,all,annex,default,yes,yes,
1B21.2Z,Cutaneous infection due to unspecified non-tuberculous mycobacteria,01,yes,both,all,annex,default,yes,yes,
1B21.3,Disseminated non-tuberculous mycobacterial infection,01,yes,both,all,annex,default,no,yes,
1B21.4,Gastrointestinal non-tuberculous mycobacterial infection,01,yes,both,all,annex,default,no,yes,
1B21.Y,Non-tuberculous mycobacterial infection of other specified site,01,yes,both,all,annex,default,yes,yes,
